Mediterranean Avenue,Brown,2,10,30,90,160,250,60,50
Baltic Avenue,Brown,4,20,60,180,320,450,60,50
Oriental Avenue,Light Blue,6,30,90,270,400,550,100,50
Vermont Avenue,Light Blue,6,30,90,270,400,550,100,50
Connecticut Avenue,Light Blue,8,40,100,300,450,600,120,50
St. Charles Place,Pink,10,50,150,450,625,750,140,100
States Avenue,Pink,10,50,150,450,625,750,140,100
Virginia Avenue,Pink,12,60,180,500,700,900,160,100
St. James Place,Orange,14,70,200,550,750,950,180,100
Tennessee Avenue,Orange,14,70,200,550,750,950,180,100
New York Avenue,Orange,16,80,220,600,800,1000,200,100
Kentucky Avenue,Red,18,90,250,700,875,1050,220,150
Indiana Avenue,Red,18,90,250,700,875,1050,220,150
Illinois Avenue,Red,20,100,300,750,925,1100,240,150
Atlantic Avenue,Yellow,22,110,330,800,975,1150,260,150
Ventnor Avenue,Yellow,22,110,330,800,975,1150,260,150
Marvin Gardens,Yellow,24,120,360,850,1025,1200,280,150
Pacific Avenue,Green,26,130,390,900,1100,1275,300,200
North Carolina Avenue,Green,26,130,390,900,1100,1275,300,200
Pennsylvania Avenue,Green,28,150,450,1000,1200,1400,320,200
Park Place,Dark Blue,35,175,500,1100,1300,1500,350,200
Boardwalk,Dark Blue,50,200,600,1400,1700,2000,400,200
